hostname,os,scope,type,ip,nat,datastore
ACASTE,Windows 2008 R2 x64 STD,UO,V,10.1.32.130,15.1.70.182,MOP B4
ADMETE,Windows 2008 R2 x64 STD,UO,V,10.1.32.132,15.1.70.183,GRABELS G2
AGENE,Windows 2008 R2 x64 STD,UO,V,10.0.32.80,15.1.70.126,MOP B4
ALCANTARA,Windows 2008 R2 x64 STD,HUO,V,10.2.32.196,,MOP B4
ALHAMA,Red Hat Enterprise 7,UO,V,10.0.32.133,15.1.53.229,MOP B4
ALLONDON,Red Hat Enterprise 5.11,HUO,V,10.2.32.94,15.1.70.25,GRABELS G2
ANCHOR,Red Hat Enterprise 6.3,infra IBM,V,10.1.32.20,15.1.53.238,MOP B4
ANDROMEDE,Windows 2008 R2 x64 STD,UO,V,10.1.32.134,15.1.70.156,GRABELS G2
ANGOUSTRINE,Red Hat Enterprise 7,UO,V,10.0.32.132,15.1.70.88,MOP B4
ANGRAPA,Windows 2008 R2 x64,infra IBM,V,10.2.32.240,15.1.70.23,MOP B4
ANIENE,Red Hat Enterprise 7,UO,V,10.0.32.108,15.1.70.89,GRABELS G2
ARLANZA,Red Hat Enterprise 5.11,UO,V,10.1.32.84,15.1.70.63,MOP B4
ARNON,CentOS 4/5 (64 bits),HUO,V,10.0.32.121,,GRABELS G2
ARROS,Red Hat Enterprise 7.2,HUO,V,192.168.21.8,,MOP B4
ARROUX,Red Hat Enterprise 7.2,HUO,V,10.0.32.187,15.1.53.130,MOP B4
ARTUBY,Red Hat Enterprise 7.2,HUO,V,10.0.32.188,15.1.53.131,MOP B4
ARVAN,Red Hat Enterprise 7.2,HUO,V,10.0.32.189,15.1.53.132,MOP B4
BACCHIGLIONNE,Windows 2008 R2 x64 STD,UO,V,10.1.32.33,15.1.53.72,GRABELS G2
BAGMATI,Red Hat Enterprise 7.2,HUO,V,10.2.32.167,15.1.53.46,MOP B4
BARBERINE,Windows 2008 R2 x64 STD,HUO,V,10.2.32.197,,GRABELS G2
BEGNA,Red Hat Enterprise 7.4,HUO,V,10.2.32.16,15.1.53.221,MOP B4
BEIRO,Red Hat Enterprise 5.11,UO,V,10.1.32.94,15.1.70.64,MOP B4
BELCAIRE,Red Hat Enterprise 5.11,UO,V,10.0.32.217,15.1.53.232,MOP B4
BELON,Red Hat Enterprise 6.8,UO,V,10.0.32.47,15.1.70.185,MOP B4
BEVINCO,Red Hat Enterprise 7,UO,V,10.0.32.24,15.1.70.137,MOP B4
BLINNE,Red Hat Enterprise 5.11,HUO,V,10.2.32.91,,GRABELS G2
